feature,importance
SEASONAL_INDEX,0.37127244
TOTAL_DEMAND,0.3107241
NUM_ITEMS,0.19976549
ITEMS_NORMALIZED,0.04387563
CONSUMPTION_TREND_7D,0.038082402
STOCKOUT_RATE,0.006157679
ROUTE_7D_AVG,0.0041702264
WAREHOUSE_7D_AVG,0.0035084814
STOCKOUT_OCCURRED,0.0022136457
PASSENGERS,0.0017002723
HUB_ROUTE_PASSENGERS,0.0015021306
PASSENGERS_X_CATEGORIES,0.0011566528
CONSUMPTION_PER_PASSENGER,0.0010943987
PASSENGERS_LAG_7,0.0010907801
CONSUMPTION_LAG_1,0.0009913195
CONSUMPTION_LAG_7,0.0009896379
PASSENGERS_X_ITEMS,0.00088668737
ROUTE_STOCKOUT_HISTORY,0.0008641766
CATEGORIES_PER_PASSENGER,0.00070836383
PASSENGERS_NORMALIZED,0.0006644543
ROUTE_COMPLEXITY,0.0006591837
PASSENGERS_LAG_1,0.0006383766
ROUTE_FREQUENCY,0.00057757646
MONTH_COS,0.00057455647
CATEGORY_DIVERSITY_INDEX,0.00055294466
ROUTE_30D_AVG,0.0005306394
WEEKEND_ROUTE_INTERACTION,0.0005294891
TOTAL_ITEMS_NORMALIZED,0.00052611355
ROUTE_FREQUENCY_NORMALIZED,0.0005229325
ORIGIN_FREQUENCY,0.00048904837
IS_LOW_SEASON,0.00048787633
ITEMS_PER_PASSENGER,0.00048398427
MONTH_SIN,0.0004096587
NUM_CATEGORIES,0.000402307
STOCKOUT_QTY,0.0003144833
DAY_SIN,0.0002529267
DAY_COS,0.00024527052
IS_WEEKEND,0.00021123704
ITEMS_PER_CATEGORY,0.00017240032
IS_PEAK_SEASON,0.0
IS_HUB_ROUTE,0.0
IS_INTERNATIONAL,0.0
WAREHOUSE_AVG_CONSUMPTION,0.0
WAREHOUSE_Porto,0.0
WAREHOUSE_Palma de Mallorca,0.0
WAREHOUSE_Madrid ,0.0
WAREHOUSE_ACTIVITY,0.0
WAREHOUSE_STOCKOUT_RATE,0.0
WAREHOUSE_Lisbon,0.0
PEAK_SEASON_PASSENGERS,0.0
